0 1 1
0.0169492 1 1
0.0338983 1 1
0.0508475 1 1
0.0677966 1 1
0.0847458 1 2
0.101695 1 2
0.118644 1 2
0.135593 2 2
0.152542 2 2
0.169492 2 3
0.186441 3 3
0.20339 3 3
0.220339 3 3
0.237288 3 3
0.254237 4 4
0.271186 4 4
0.288136 4 4
0.305085 4 4
0.322034 5 4
0.338983 5 5
0.355932 5 5
0.372881 5 5
0.389831 6 5
0.40678 6 5
0.423729 6 6
0.440678 6 6
0.457627 6 6
0.474576 7 6
0.491525 7 6
0.508475 7 7
0.525424 7 7
0.542373 8 7
0.559322 8 7
0.576271 8 7
0.59322 8 8
0.610169 8 8
0.627119 9 8
0.644068 9 8
0.661017 9 8
0.677966 9 9
0.694915 10 9
0.711864 10 9
0.728814 10 9
0.745763 10 9
0.762712 10 10
0.779661 10 10
0.79661 10 10
0.813559 10 10
0.830508 10 10
0.847458 10 10
0.864407 10 10
0.881356 10 10
0.898305 10 10
0.915254 10 10
0.932203 10 10
0.949153 10 10
0.966102 10 10
0.983051 10 10
1 10 10
