0 1 1
0.01 1 1
0.02 1 1
0.03 1 1
0.04 1 1
0.05 1 1
0.06 1 2
0.07 1 2
0.08 1 2
0.09 1 2
0.1 1 2
0.11 1 2
0.12 1 3
0.13 3 3
0.14 3 3
0.15 4 3
0.16 4 3
0.17 4 4
0.18 5 4
0.19 5 4
0.2 5 4
0.21 6 4
0.22 6 4
0.23 6 5
0.24 6 5
0.25 7 5
0.26 7 5
0.27 7 5
0.28 8 5
0.29 8 6
0.3 8 6
0.31 8 6
0.32 9 6
0.33 9 6
0.34 9 7
0.35 9 7
0.36 10 7
0.37 10 7
0.38 10 7
0.39 10 7
0.4 10 8
0.41 10 8
0.42 10 8
0.43 10 8
0.44 10 8
0.45 10 8
0.46 10 9
0.47 10 9
0.48 10 9
0.49 10 9
0.5 10 9
0.51 10 10
0.52 10 10
0.53 10 10
0.54 10 10
0.55 10 10
0.56 10 10
0.57 10 10
0.58 10 10
0.59 10 10
0.6 10 10
